company,industry,platform,title,department,location,description,link,posted_date
Adobe,Tech/SaaS,generic,Data Engineer,N/A,N/A,"JOB DESCRIPTION Adobe Customer Solutions is looking for a full time Data Engineer with experience in building data integrations using AWS technology stack as part of the team's Data as a Service portfolio for Adobe’s Customer Experience Orchestration enterprise customers. Customer facing Engineers who enjoy tackling complex technical challenges, have a passion for delighting customers and who are self-motivated to push themselves in a team oriented culture will thrive in our environment What you’ll do · Collaborate with Data architects, Enterprise architects, Solution consultants and Product engineering teams to capture customer data integration requirements, conceptualize solutions & build required technology stack · Collaborate with enterprise customer's engineering team to identify data sources, profile and quantify quality of data sources, develop tools to prepare data and build data pipelines for integrating customer data sources and third party data sources with Adobe solutions · Develop new features and improve existing data integrations with customer data ecosystem · Encourage team to think out-of-the-box and overcome engineering obstacles while incorporating new innovative design principles. · Collaborate with a Project Manager to bill and forecast time for customer solutions Requirements · Experience as an enterprise Data Engineer from a consulting background · AWS Certified Data Engineer – Associate or AWS Certified Cloud Practitioner · 5+ years experience in building/operating/maintaining fault tolerant and scalable data processing integrations using AWS · 7+ years experience in Python programming language preferably using PySpark · Software development experience working with Apache Airflow, MongoDB, MySQL · Strong capacity to manage numerous projects are a must · Experience using Docker or Kubernetes is a plus · BS/MS degree in Computer Science or equivalent industry experience · Ability to identify and resolve problems associated with production grade",https://careers.adobe.com/us/en/job/R164245/Data-Engineer,
Adobe,Tech/SaaS,generic,Data Engineer,N/A,N/A,"JOB DESCRIPTION Our company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to build and deliver outstanding digital experiences! We’re passionate about empowering people to build beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen. We’re on a mission to hire the very best. We are committed to crafting outstanding employee experiences where everyone is respected and has equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours. The Challenge Apply your expertise in data engineering to drive the next stage of growth at Adobe. The AUP team is passionate about delivering optimized experiences through personalization. This role will drive data engineering for large-scale data science initiatives across a wide variety of strategic projects. As a member of the Data Engineering team, you will have significant responsibility to help build large scale cloud-based data and analytics platform with enterprise-wide consumers. This role is inherently multi-functional, and the ideal candidate will work across teams. The position requires ability to own things, come up with innovative solutions, try new tools and technologies. What you will do Build scalable, fault-tolerant data pipelines on cloud platforms Enable analytics and personalization using Adobe tools (AEP, AJO, CJA) Develop end-to-end data pipelines to support production ML models Build and optimize LLM-based agents to automate data workflows Design data ingestion, transformation, governance, and consumption frameworks Collaborate closely with data scientists and ML engineers What you will need Master’s degree or equivalent experience is preferred. 8+ years of consistent track record as a data engineer. 5+ years validated ability in distributed data technologies e.g., Hadoop,",https://careers.adobe.com/us/en/job/R164504/Data-Engineer,
Adobe,Tech/SaaS,generic,Data Scientist,N/A,N/A,"JOB DESCRIPTION The Opportunity Join our dedicated team at Adobe as a Data Scientist in San Jose to drive the critical Document Cloud business. This outstanding opportunity blends data science with strategic insight, allowing you to bring to bear advanced analytical and machine learning techniques to deliver actionable, data-driven recommendations. You will work closely with senior Go To Market leaders, showcasing your superb business intuition, quantitative analytical prowess, and fantastic communication skills. Your insights will empower the business across the full customer journey, from acquisition to retention. Be part of our world-class team and help us build the future! What You Will Do Apply your expertise in quantitative analysis and data modeling to uncover deep insights into customer behavior and trends. Act as a thought partner to business leads and influence decisions through compelling data-driven storytelling. Identify business opportunities, build use cases, and recommend data science initiatives to inform our product roadmap. Tackle critical business challenges with data science models to drive scalable and programmatic business solutions. Recommend and implement testing ideas based on detailed analysis. What you need to succeed Bachelor’s degree in quantitative fields, e.g., Computer Science, Math/Statistics, Economics, Physics, or equivalent practical experience. MBA or a master’s degree is preferred 2-3 years hands-on experience doing quantitative analysis ideally in tech or management consulting Demonstrable experience using quantitative analysis/statistical modeling on data sets to tackle intricate business problems Phenomenal at telling stories with data and communicating it to partners at all levels to influence critical decision making Strong proficiency in querying and manipulating volumes of data sets for analytical purposes using SQL-like languages Statistical Modeling in Microsoft Excel or Power Pivot Experience building and training sta",https://careers.adobe.com/us/en/job/R165959/Data-Scientist,
Adobe,Tech/SaaS,generic,Lead Data Engineer,N/A,N/A,"JOB DESCRIPTION The Opportunity: The Marketing Operations and Engineering team in Growth Marketing and Insights (GMI) handles data architecture, transformation, and engineering for the Growth Marketing and Insights (GMI) under Marketing Org. We manage backend data for marketing measurement tools and processes such as attribution, product and customer segmentation, and lifetime value. We want an Engineering Lead to manage the data enabling the team’s work. You will partner with business analysts and data scientists to outline requirements for new/existing models. You will develop data pipelines, refine ETL processes, ensure data quality, and seek ways to increase efficiency and automation in everyday work. You will take ownership of the data platform behind Adobe’s marketing models and other marketing measurement and reporting tools used at all company levels. What you’ll do: We are seeking a proven contributor who will provide support in data engineering, building data assets, and software applications. This individual should be able to provide technical direction and system architecture advice for individual initiatives. You will collaborate with key partners and apply your technical proficiency across different stages of the Software Development Process including Requirements Elicitation, Application Architecture definition, and Build. You will play a meaningful role in building high-level design artifacts. You will also deliver high-quality code work for a module, lead validation for all types of testing, and support activities related to implementation and transition. Take charge of reorganizing the database to more effectively serve data scientists and business analysts throughout the marketing organization. Scope requirements, connect data sources and build ETL processes to support new products and routes to market as the team expands campaign measurement products/models for Adobe’s B2C and B2B business units. Partner with Marketing, Finance, and Sales teams t",https://careers.adobe.com/us/en/job/R165077/Lead-Data-Engineer,
Adobe,Tech/SaaS,generic,Senior Data Engineer,N/A,N/A,"JOB DESCRIPTION Our company Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to build and deliver outstanding digital experiences! We’re passionate about empowering people to build beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen. We’re on a mission to hire the very best. We are committed to crafting outstanding employee experiences where everyone is respected and has equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could come from any team or individual. The Challenge Apply deep data engineering expertise to build and scale the next phase of Adobe’s personalization platform. As a Lead Data Engineer on the AUP team, this role helps define and deliver the data platform strategy supporting large-scale personalization, experimentation, and data science initiatives across Adobe. This position owns and evolves enterprise-grade, cloud-native data and analytics platforms operating at significant scale and complexity, requiring strong architectural judgment and long-term thinking. The role collaborates closely with product, data science, ML, and infrastructure teams to solve ambiguous problems, influence technical direction, and build systems that meet Adobe’s scale and quality standards. What you will do Design and lead large-scale, secure, and reliable cloud data platforms Own end-to-end data pipelines, including ingestion, transformation, governance, and consumption Enable analytics, personalization, and activation using Adobe ecosystem tools (AEP, AJO, CJA) Build and support production ML and GenAI data pipelines Establish best practices for performance, cost efficiency, reliability, and observability Partner across teams to translate business needs into scalable data solutions Mentor engineers and influence technical direction ",https://careers.adobe.com/us/en/job/R164509/Senior-Data-Engineer,
Adobe,Tech/SaaS,generic,Data Product Manager,N/A,N/A,"JOB DESCRIPTION Our Company Recognized as a leading software company known for innovation, Adobe’s products reach billions globally, empowering individuals everywhere to imagine, compose, and bring any digital experience to life. Adobe products are chosen by creators, students, small businesses, global enterprises, and nonprofits. Customers use them to generate ideas, collaborate, and increase efficiency. These products also support business growth and create outstanding experiences. Our 30,000+ employees worldwide are creating the future and setting the standard as we drive the next decade of growth. We’re on a mission to hire the very best and believe in creating a company culture where all employees are empowered to make an impact. At Adobe, we believe that great ideas can come from anywhere in the organization. Be part of Adobe's future. The Opportunity Join Adobe's dynamic Data Platform team as a Data Product Manager located in San Jose, CA! This is an amazing opportunity to play a key role in crafting the future of Adobe's metrics. As part of a world-class data & analytics team, you will drive the development of innovative technical solutions that inform Adobe's business globally. Your work will strictly align with Adobe’s mission to build data products that enlighten and grow Adobe's business. What you'll Do Lead cross-functional teams to successfully implement and deliver high-impact projects. Define and communicate product vision, roadmap, and growth opportunities. Collaborate with partners to determine and prioritize product features and improvements. Conduct market research and analyze trends to ensure competitive positioning. Coordinate product lifecycle from ideation to launch, ensuring flawless execution. Manage and track product performance metrics to drive continuous improvement. Success metrics Bachelor's degree or equivalent experience in Information Technology, Computer Science, or a similar area, or 5+ years of equivalent practical experience. Pr",https://careers.adobe.com/us/en/job/R164386/Data-Product-Manager,
Adobe,Tech/SaaS,generic,Senior Data Engineer,N/A,N/A,"JOB DESCRIPTION The Opportunity The role involves playing a key role in crafting the future services for Adobe’s Experience Platform Operational Intelligence group. This team is at the forefront of a transformative project that enables Customer Experience Orchestration solutions with intelligent technology for personalized experiences on a large scale, a critical differentiator in the industry. Operational Intelligence Platform delivers scalable solutions that improve business performance and enhance operational efficiency for our clients. Engineers have the opportunity to address scale challenges, craft AI/ML software for Adobe, work closely with a proficient team, address data challenges, and invent scalable services. What you'll Do Build high-performance and fault-tolerant systems for data processing at scale. Build new features by partnering with Product Management. Build and optimize the infrastructure needed to train, test, and deploy ML models at scale. Work with data scientists to transition models from research and prototyping into production. Participate in architecture, composition, and code reviews. Investigate problem areas; coordinate with other developers on resolution. Document and demonstrate solutions by developing build documentation, code comments, presentations, and through code execution. What you need to succeed BS or MS in Computer Science. 4-7 years of work experience. Strong grasp of Computer Science fundamentals, specifically algorithms and data structures. Experience developing in Java, Scala, or Python. Past experience in building and deploying ML models is highly desirable. Experience writing unit test cases using mocking frameworks. Desire to learn new technologies. Strong communication skills. About Adobe Adobe empowers everyone to create through innovative platforms and tools that unleash creativity, productivity and personalized customer experiences. Adobe’s industry-leading offerings including Adobe Acrobat Studio, Adobe Express, A",https://careers.adobe.com/us/en/job/R161087/Senior-Data-Engineer,
Adobe,Tech/SaaS,generic,Sr. Data Engineer,N/A,N/A,"JOB DESCRIPTION Adobe Customer Solutions is looking for a full time Data Engineer with experience in building data integrations using AWS technology stack as part of the team's Data as a Service portfolio for Adobe’s Customer Experience Orchestration enterprise customers. Customer facing Engineers who enjoy tackling complex technical challenges, have a passion for delighting customers and who are self-motivated to push themselves in a team oriented culture will thrive in our environment What you’ll do · Collaborate with Data architects, Enterprise architects, Solution consultants and Product engineering teams to capture customer data integration requirements, conceptualize solutions & build required technology stack · Collaborate with enterprise customer's engineering team to identify data sources, profile and quantify quality of data sources, develop tools to prepare data and build data pipelines for integrating customer data sources and third party data sources with Adobe solutions · Develop new features and improve existing data integrations with customer data ecosystem · Encourage team to think out-of-the-box and overcome engineering obstacles while incorporating new innovative design principles. · Collaborate with a Project Manager to bill and forecast time for customer solutions Requirements: · Experience as an enterprise Data Engineer from a consulting background · AWS Certified Data Engineer – Associate or AWS Certified Cloud Practitioner · 5+ years experience in building/operating/maintaining fault tolerant and scalable data processing integrations using AWS · 7+ years experience in Python programming language preferably using PySpark · Software development experience working with Apache Airflow, MongoDB, MySQL · Strong capacity to manage numerous projects are a must · Experience using Docker or Kubernetes is a plus · BS/MS degree in Computer Science or equivalent industry experience · Ability to identify and resolve problems associated with production grad",https://careers.adobe.com/us/en/job/R166280/Sr-Data-Engineer,
Adobe,Tech/SaaS,generic,Senior Data Scientist,N/A,N/A,"JOB DESCRIPTION The Opportunity As a Senior Data Scientist on the Go-To-Market (GTM) Data Science & Analytics team, you will be a critical partner in driving the strategy for Adobe.com B2C business. Our team is responsible for optimizing the end-to-end customer journey, ensuring that every touchpoint - from first discovery to long-term retention - is backed by rigorous data science. You will work at the intersection of GTM Strategy, Product, and Finance to uncover growth levers, improve monetization strategies, and minimize churn across our global subscriber base. What you'll do Use exploratory data analysis to uncover hidden patterns in the customer journey. You’ll investigate anomalies in the funnel, identifying whether shifts are driven by market trends, product changes, or technical friction. Drive Run-the-Business (RTB) by analyzing weekly performance across the GTM funnel to understand drivers of acquisition and retention. Synthesize complex technical findings into clear, actionable narratives for senior leadership. You will help shift the organization from ""monitoring metrics"" to ""driving evidence-based decisions."" Elevate the team’s technical bar by contributing to shared code libraries, peer-reviewing complex analyses, and partnering with Data Engineering to optimize our data architecture for high-velocity analytics. What You Need to Succeed 5+ years of experience in data science, applied machine learning, or quantitative analysis, preferably in a B2C SaaS or e-commerce environment. Expert-level SQL and Python skills for data manipulation and modeling. Familiarity with big data platforms like Databricks or Spark is highly preferred. Experience with one or more data visualization tools such as Tableau or Power BI. Strong grasp of probability, regression, time-series forecasting, and causal inference. Experience with uplift modeling or survival analysis is a significant plus. A track record of working cross-functionally with non-technical collaborators to dri",https://careers.adobe.com/us/en/job/R165355/Senior-Data-Scientist,
Adobe,Tech/SaaS,generic,"Data Scientist, Lightroom",N/A,N/A,"JOB DESCRIPTION The Adobe Digital Imaging Data Science Team is looking for a Data Scientist passionate about data and delivering an outstanding product experience. We use extensive product usage data and work closely with product managers, marketing managers, and software engineers to derive insights and build a foundation for reliable data-driven decision-making. You will focus on initiatives like product analytics, dashboards, data engineering, GTM analytics, growth and more. Your main role is to develop and maintain a strong data architecture that enhances reporting, analytics, and experimentation. Over time, you will apply predictive modeling and machine learning to help the organization improve customer experiences. Join us and drive meaningful change in Adobe’s most exciting areas! Responsibilities: Partner with product and engineering teams to understand existing product instrumentation and help bridge gaps in data streams to assist data science initiatives. Analyze product usage patterns to better understand customer behavior including acquisition, engagement, conversion, and retention. Proactively identify user trends and communicate relevant insights to assist product decision-making. Automate and optimize data pipelines using SQL and/or Python-based ETL Frameworks. Build and maintain various dashboards to inform the team about the state of the business, as well as to alert business partners when issues occur. Architect and implement models to recommend personalized in-app content. Drive A/B and multivariate tests and build feature-level experiments to validate hypotheses and influence product development decisions. Requirements: MS or Ph.D. in data science, computer science, statistics, applied mathematics, engineering, or economics, or equivalent experience. 3 - 5+ years of relevant data science experience. Experience translating business questions into data analytics approaches. Strong proficiency in querying and manipulating large datasets using SQL-li",https://careers.adobe.com/us/en/job/R166466/Data-Scientist-Lightroom,
